Airline,Departing to,Flight,Scheduled,Estimated,Remarks,Terminal,Gate
United,Palm Springs,5933,上午08:52,上午08:52,On Time,3,73A
American Airlines,Chicago/O'Hare,2691,上午08:58,上午08:58,On Time,2,56A
WestJet,Calgary,1521,上午09:00,上午09:00,On Time,Int'l,A2
United,Redding,5766,上午08:54,上午08:54,On Time,3,71A
JetBlue,Long Beach,1235,上午09:00,上午09:00,On Time,1,B6
American Airlines,Los Angeles,1322,上午09:00,上午09:00,On Time,2,45A
Alaska Airlines,Los Angeles,1946,上午09:00,上午09:00,On Time,2,59A
Delta Air Lines,Detroit,546,上午09:10,上午09:10,On Time,1,42
Delta Air Lines,Los Angeles,2313,上午09:10,上午09:10,On Time,1,41
Alaska Airlines,Palm Springs,3458,上午09:10,上午09:10,On Time,2,53
American Airlines,Phoenix,1868,上午09:10,上午09:10,On Time,1,45B
United,Las Vegas,1144,上午09:00,上午09:00,On Time,3,68
United,Kahului,1725,上午09:11,上午09:11,On Time,3,88
United,Eugene,5632,上午09:15,上午09:15,On Time,3,84D
United,Boise,5449,上午09:16,上午09:16,On Time,3,84C
United,Salt Lake City,5539,上午09:25,上午09:25,On Time,3,77B
Alaska Airlines,Baltimore,322,上午09:30,上午09:30,On Time,2,54B
United,Phoenix,5987,上午09:27,上午09:27,On Time,3,77A
JetBlue,Fort Lauderdale,578,上午09:30,上午09:30,On Time,1,B8
United,Dallas-Fort Worth/DFW,482,上午09:30,上午09:30,On Time,3,86
Air Canada,Montreal,760,上午09:30,上午09:30,On Time,Int'l,G93
Southwest,Ontario,2174,上午09:30,上午09:30,On Time,1,B14
Alaska Airlines,San Jose/Los Cabos,1278,上午09:30,上午09:30,On Time,2,50B
United,Washington/Dulles,516,上午09:30,上午09:30,On Time,3,63
United,Los Angeles,653,上午09:30,上午09:30,On Time,3,62
Southwest,Columbus,2254,上午09:35,上午09:35,On Time,1,B17
Alaska Airlines,Washington/Dulles,1090,上午09:40,上午09:40,On Time,2,58B
United,Lihue/Kauai,1111,上午09:31,上午09:31,On Time,3,67
Alaska Airlines,Newark,266,上午09:50,上午09:50,On Time,2,51A
Alaska Airlines,Seattle,2953,上午09:50,上午09:50,On Time,2,52
American Airlines,Dallas-Fort Worth,152,上午09:51,上午09:51,On Time,2,57
Delta Air Lines,Atlanta,3004,上午09:55,上午09:55,On Time,1,40
Southwest,Los Angeles,1098,上午09:55,上午09:55,On Time,1,B13
Hawaiian Airlines,Kahului,41,上午10:00,上午10:00,On Time,Int'l,A12
American Airlines,Chicago/O'Hare,345,上午10:01,上午10:01,On Time,2,56B
Alaska Airlines,Orange County,2119,上午10:05,上午11:27,,2,50B
Delta Air Lines,Seattle,2490,上午10:07,上午10:07,On Time,1,42
Air Canada,Edmonton,8744,上午10:15,上午10:15,On Time,Int'l,G102
United,Baltimore,2063,上午09:50,上午09:50,On Time,3,61
United,Ontario,5371,上午10:04,上午10:04,On Time,3,78
Delta Air Lines,Salt Lake City,1390,上午10:20,上午10:20,On Time,1,48
Alaska Airlines,Chicago/O'Hare,1208,上午10:25,上午10:25,On Time,2,54A
Alaska Airlines,Seattle,381,上午10:25,上午10:25,On Time,2,51B
United,Newark,753,上午10:15,上午10:15,On Time,3,85
Southwest,Burbank,1935,上午10:30,上午10:30,On Time,1,B17
Alaska Airlines,Albuquerque,3388,上午10:35,上午10:35,On Time,2,59C
Southwest,San Diego,1913,上午10:35,上午10:35,On Time,1,B12
United,Tampa,1991,上午10:15,上午10:15,On Time,3,65
United,Toronto,608,上午10:25,上午10:25,On Time,3,69
United,Atlanta,575,上午10:40,上午10:40,On Time,3,89
United,Vancouver,685,上午10:40,上午10:40,On Time,3,68
United,Seoul,893,上午10:40,上午10:40,On Time,Int'l,G92
